common_name,scientific_name,observation_count,state,county,locality,latitude,longitude,observation_date,observer_id,geom
Eared Grebe,Podiceps nigricollis,1,Massachusetts,Plymouth,Duxbury,42.0418,-70.67228,9/18/1993,obsr171679,0101000020E61000005070B1A206AB51C0857CD0B359054540
Townsend's Solitaire,Myadestes townsendi,1,Massachusetts,Barnstable,West Barnstable,41.70571,-70.37447,2/1/1997,obsr339145,0101000020E610000052D50451F79751C0E73A8DB454DA4440
Bar-tailed Godwit,Limosa lapponica,1,Massachusetts,Barnstable,Monomoy NWR--North Monomoy Island,41.6341667,-69.9744444,5/15/1998,obsr339145,0101000020E61000004D710B4C5D7E51C02B5BDA5F2CD14440
Fork-tailed Flycatcher,Tyrannus savana,1,Massachusetts,Essex,Plum Island (please use more refined location),42.7985496,-70.8090735,8/15/1998,obsr149856,0101000020E6100000DBA337DCC7B351C0F01D90DF36664540
Tufted Duck,Aythya fuligula,1,Massachusetts,Worcester,Sterling,42.43759,-71.76062,10/31/1996,obsr339145,0101000020E6100000BF2B82FFADF051C04087F9F202384540
Green-tailed Towhee,Pipilo chlorurus,1,Massachusetts,Essex,SPA: South Peabody Area: contiguous N. Lynn-S. Peabody-SW Salem,42.5066859,-70.9449863,10/31/1979,obsr131673,0101000020E6100000C16AD1A77ABC51C013EC6415DB404540
Fork-tailed Flycatcher,Tyrannus savana,1,Massachusetts,Essex,Parker River NWR,42.7639008,-70.8022995,8/16/1998,obsr403348,0101000020E6100000388600E058B351C0B2B15C80C7614540
Eared Grebe,Podiceps nigricollis,1,Massachusetts,Essex,Gloucester,42.6158981,-70.6619873,12/1/1996,obsr339145,0101000020E610000083F7FAFF5DAA51C09395BABFD54E4540
Pink-footed Goose,Anser brachyrhynchus,1,Massachusetts,Barnstable,Dennis Pines Golf Course,41.7313943,-70.1537255,1/21/1999,obsr119582,0101000020E6100000EBC37AA3D68951C08B7D13549EDD4440
Bridled Tern,Onychoprion anaethetus,1,Massachusetts,Barnstable,Hyannisport,41.6316108,-70.301857,1/16/1995,obsr339145,0101000020E610000065C405A0519351C073E6689FD8D04440
Townsend's Solitaire,Myadestes townsendi,1,Massachusetts,Plymouth,"BHI--World's End, Hingham (TTOR)",42.2713013,-70.8806992,1/1/1994,obsr339145,0101000020E610000041672D605DB851C05F6E4100BA224540
Fork-tailed Flycatcher,Tyrannus savana,1,Massachusetts,Essex,Parker River NWR,42.7639008,-70.8022995,8/15/1998,obsr39970,0101000020E6100000388600E058B351C0B2B15C80C7614540
American White Pelican,Pelecanus erythrorhynchos,1,Massachusetts,Essex,Parker River NWR,42.7639008,-70.8022995,9/12/1997,obsr110064,0101000020E6100000388600E058B351C0B2B15C80C7614540
Pink-footed Goose,Anser brachyrhynchus,1,Massachusetts,Barnstable,MA--Dennis Pines GC,41.7290705,-70.1531081,2/13/1999,obsr7894,0101000020E61000002C90EA85CC8951C03BFDA02E52DD4440
Bar-tailed Godwit,Limosa lapponica,1,Massachusetts,Plymouth,"Nelson Field, Plymouth",41.9676273,-70.6720448,1/1/1998,obsr162991,0101000020E6100000995C31C802AB51C0BF1B1C36DBFB4440
American White Pelican,Pelecanus erythrorhynchos,1,Massachusetts,Essex,Plum Island (please use more refined location),42.7985496,-70.8090735,7/21/1997,obsr149856,0101000020E6100000DBA337DCC7B351C0F01D90DF36664540
American White Pelican,Pelecanus erythrorhynchos,1,Massachusetts,Essex,Plum Island (please use more refined location),42.7985496,-70.8090735,9/1/1997,obsr339145,0101000020E6100000DBA337DCC7B351C0F01D90DF36664540
Eared Grebe,Podiceps nigricollis,1,Massachusetts,Plymouth,Wareham,41.7625999,-70.7216797,12/17/1994,obsr171679,0101000020E6100000F96B0D0030AE51C068379FDF9CE14440
Fork-tailed Flycatcher,Tyrannus savana,1,Massachusetts,Essex,Parker River NWR,42.7639008,-70.8022995,8/16/1998,obsr99544,0101000020E6100000388600E058B351C0B2B15C80C7614540
Pacific Loon,Gavia pacifica,1,Massachusetts,Essex,Gloucester,42.6158981,-70.6619873,5/14/1999,obsr171679,0101000020E610000083F7FAFF5DAA51C09395BABFD54E4540
Pacific Loon,Gavia pacifica,1,Massachusetts,Essex,Plum Island (please use more refined location),42.7985496,-70.8090735,5/10/1997,obsr339145,0101000020E6100000DBA337DCC7B351C0F01D90DF36664540
Fork-tailed Flycatcher,Tyrannus savana,1,Massachusetts,Essex,Parker River NWR,42.7639008,-70.8022995,8/23/1998,obsr134697,0101000020E6100000388600E058B351C0B2B15C80C7614540
Townsend's Warbler,Setophaga townsendi,1,Massachusetts,Dukes,Chilmark,41.34321,-70.74477,10/4/1998,obsr339145,0101000020E6100000AF42CA4FAAAF51C080D4264EEEAB4440
Mississippi Kite,Ictinia mississippiensis,1,Massachusetts,Barnstable,Orleans,41.78981,-69.98976,6/1/1997,obsr339145,0101000020E6100000E5B8533A587F51C0E2067C7E18E54440
Bar-tailed Godwit,Limosa lapponica,1,Massachusetts,Barnstable,Monomoy NWR,41.5913346,-69.9880211,7/25/1992,obsr39970,0101000020E61000008210DABC3B7F51C023FF27DAB0CB4440
Bar-tailed Godwit,Limosa lapponica,1,Massachusetts,Barnstable,Monomoy NWR,41.5913346,-69.9880211,7/25/1992,obsr39970,0101000020E61000008210DABC3B7F51C023FF27DAB0CB4440
Fork-tailed Flycatcher,Tyrannus savana,1,Massachusetts,Essex,Parker River NWR,42.7639008,-70.8022995,8/26/1998,obsr164417,0101000020E6100000388600E058B351C0B2B15C80C7614540
Ivory Gull,Pagophila eburnea,1,Massachusetts,Essex,Salisbury Beach State Reservation,42.8268013,-70.8180008,1/11/1976,obsr7837,0101000020E6100000840607205AB451C028E5FF9FD4694540
Bar-tailed Godwit,Limosa lapponica,1,Massachusetts,Plymouth,"Nelson Field, Plymouth",41.9676273,-70.6720448,2/1/1998,obsr356118,0101000020E6100000995C31C802AB51C0BF1B1C36DBFB4440
Mountain Bluebird,Sialia currucoides,3,Massachusetts,Barnstable,South Wellfleet,41.91821,-69.99527,1/31/1995,obsr339145,0101000020E6100000282CF180B27F51C01A6EC0E787F54440
Ivory Gull,Pagophila eburnea,1,Massachusetts,Essex,Newburyport Harbor,42.8116989,-70.839798,1/10/1976,obsr5464,0101000020E6100000C24F1C40BFB551C07FD9E2BFE5674540
Eared Grebe,Podiceps nigricollis,1,Massachusetts,Barnstable,"Nauset Beach, Orleans",41.7888489,-69.9355316,1/28/1995,obsr105224,0101000020E6100000F997EEBFDF7B51C0277E3100F9E44440
Bar-tailed Godwit,Limosa lapponica,1,Massachusetts,Plymouth,Plymouth,41.9584007,-70.6672821,1/1/1998,obsr339145,0101000020E6100000322DFBBFB4AA51C0547BC7DFACFA4440
Black-headed Grosbeak,Pheucticus melanocephalus,1,Massachusetts,Middlesex,Weston,42.3668,-71.3031,12/6/1962,obsr171679,0101000020E6100000BADA8AFD65D351C01E166A4DF32E4540
Mountain Bluebird,Sialia currucoides,2,Massachusetts,Barnstable,Marconi Station Site,41.9140224,-69.9714196,2/14/1995,obsr205067,0101000020E6100000612C1DBD2B7E51C0DDE79DAFFEF44440
Townsend's Warbler,Setophaga townsendi,1,Massachusetts,Suffolk,South Boston,42.3381181,-71.0467815,12/5/1995,obsr339145,0101000020E6100000B323D577FEC251C0C4D73274472B4540
Franklin's Gull,Leucophaeus pipixcan,1,Massachusetts,Plymouth,West Bridgewater,42.019,-71.00779,10/26/1997,obsr171679,0101000020E610000018CFA0A17FC051C0DF4F8D976E024540
Townsend's Warbler,Setophaga townsendi,1,Massachusetts,Suffolk,South Boston,42.3381181,-71.0467815,12/4/1995,obsr339145,0101000020E6100000B323D577FEC251C0C4D73274472B4540
Green-tailed Towhee,Pipilo chlorurus,1,Massachusetts,Essex,SPA: South Peabody Area: contiguous N. Lynn-S. Peabody-SW Salem,42.5066859,-70.9449863,10/29/1979,obsr131673,0101000020E6100000C16AD1A77ABC51C013EC6415DB404540
American White Pelican,Pelecanus erythrorhynchos,1,Massachusetts,Essex,Plum Island (please use more refined location),42.7985496,-70.8090735,7/26/1997,obsr339145,0101000020E6100000DBA337DCC7B351C0F01D90DF36664540
White-winged Dove,Zenaida asiatica,1,Massachusetts,Plymouth,Daniel Webster Wildlife Sanctuary (Mass Audubon),42.0881122,-70.6772727,7/16/1999,obsr240864,0101000020E6100000503E986F58AB51C076B0B442470B4540
Green-tailed Towhee,Pipilo chlorurus,1,Massachusetts,Essex,"Flint Street, Marblehead",42.4909128,-70.842247,4/2/1995,obsr149856,0101000020E6100000DD09F65FE7B551C009980A3BD63E4540
Bar-tailed Godwit,Limosa lapponica,1,Massachusetts,Plymouth,"Nelson Field, Plymouth",41.9676273,-70.6720448,1/2/1998,obsr59502,0101000020E6100000995C31C802AB51C0BF1B1C36DBFB4440
Pink-footed Goose,Anser brachyrhynchus,1,Massachusetts,Barnstable,"Dennis Pines Golf Course, Dennis  MA",41.7267429,-70.1544642,1/18/1999,obsr54366,0101000020E6100000C8D9CFBDE28951C0D30C4EE905DD4440
Bar-tailed Godwit,Limosa lapponica,1,Massachusetts,Plymouth,Plymouth Harbor,41.9668854,-70.6710792,1/10/1998,obsr261841,0101000020E6100000A7412CF6F2AA51C06DFD99E6C2FB4440
Ivory Gull,Pagophila eburnea,1,Massachusetts,Essex,Salisbury Beach State Reservation,42.8268013,-70.8180008,1/10/1976,obsr566365,0101000020E6100000840607205AB451C028E5FF9FD4694540
Fork-tailed Flycatcher,Tyrannus savana,1,Massachusetts,Essex,Parker River NWR,42.7639008,-70.8022995,9/4/1998,obsr194501,0101000020E6100000388600E058B351C0B2B15C80C7614540
Ash-throated Flycatcher,Myiarchus cinerascens,1,Massachusetts,Barnstable,"Ash-throated Flycatcher, Locust Lane, Barnstable, MA",41.7087562,-70.2894974,12/26/1998,obsr54366,0101000020E6100000BB511A20879251C02BEBED85B8DA4440
Lark Bunting,Calamospiza melanocorys,1,Massachusetts,Essex,Parker River NWR,42.7639008,-70.8022995,10/30/1990,obsr105224,0101000020E6100000388600E058B351C0B2B15C80C7614540
Fork-tailed Flycatcher,Tyrannus savana,1,Massachusetts,Essex,Parker River NWR,42.7639008,-70.8022995,8/22/1998,obsr192631,0101000020E6100000388600E058B351C0B2B15C80C7614540
Mississippi Kite,Ictinia mississippiensis,1,Massachusetts,Barnstable,"Beech Forest, Provincetown",42.0670802,-70.1953679,5/31/1998,obsr171679,0101000020E61000000B4C5DE8808C51C0C59A801596084540
American White Pelican,Pelecanus erythrorhynchos,1,Massachusetts,Barnstable,Coast Guard Beach,41.8344618,-69.9453163,10/6/1990,obsr139783,0101000020E61000000C38F00F807C51C07261EEA4CFEA4440
Lark Bunting,Calamospiza melanocorys,1,Massachusetts,Plymouth,Stodders Neck,42.2501986,-70.9282815,9/6/1999,obsr356118,0101000020E6100000D6FECEF668BB51C0A340FA8106204540
Fork-tailed Flycatcher,Tyrannus savana,1,Massachusetts,Essex,Plum Island (please use more refined location),42.7985496,-70.8090735,8/16/1998,obsr200150,0101000020E6100000DBA337DCC7B351C0F01D90DF36664540
Ivory Gull,Pagophila eburnea,1,Massachusetts,Essex,Salisbury Beach State Reservation,42.8268013,-70.8180008,2/1/1976,obsr52135,0101000020E6100000840607205AB451C028E5FF9FD4694540
Bar-tailed Godwit,Limosa lapponica,1,Massachusetts,Plymouth,"Nelson Field, Plymouth",41.9676273,-70.6720448,1/18/1998,obsr193047,0101000020E6100000995C31C802AB51C0BF1B1C36DBFB4440
Pacific Loon,Gavia pacifica,1,Massachusetts,Barnstable,Sandwich,41.75901,-70.49387,12/5/1997,obsr171679,0101000020E61000006F9EEA909B9F51C022AB5B3D27E14440
Northern Wheatear,Oenanthe oenanthe,1,Massachusetts,Hampshire,Northampton,42.32509,-72.64123,9/19/1993,obsr171679,0101000020E6100000B3CD8DE9092952C0DA20938C9C294540
Fork-tailed Flycatcher,Tyrannus savana,1,Massachusetts,Essex,Parker River NWR,42.7639008,-70.8022995,8/30/1998,obsr52135,0101000020E6100000388600E058B351C0B2B15C80C7614540
Fork-tailed Flycatcher,Tyrannus savana,1,Massachusetts,Essex,Parker River NWR,42.7639008,-70.8022995,8/23/1998,obsr99398,0101000020E6100000388600E058B351C0B2B15C80C7614540
Townsend's Warbler,Setophaga townsendi,1,Massachusetts,Middlesex,Framingham,42.2793007,-71.4162064,12/29/1987,obsr171679,0101000020E6100000B2182B20A3DA51C0FD1F1620C0234540
American White Pelican,Pelecanus erythrorhynchos,2,Massachusetts,Barnstable,Falmouth,41.55151,-70.61477,11/10/1996,obsr339145,0101000020E6100000F623456458A751C05FB532E197C64440
Ivory Gull,Pagophila eburnea,1,Massachusetts,Essex,Salisbury Beach State Reservation,42.8268013,-70.8180008,1/23/1976,obsr131673,0101000020E6100000840607205AB451C028E5FF9FD4694540
Eared Grebe,Podiceps nigricollis,1,Massachusetts,Essex,Gloucester,42.6158981,-70.6619873,2/8/1997,obsr339145,0101000020E610000083F7FAFF5DAA51C09395BABFD54E4540
Fork-tailed Flycatcher,Tyrannus savana,1,Massachusetts,Middlesex,St Bernards Cemetery,42.463505,-71.3395793,5/3/1990,obsr127421,0101000020E610000082F9D0AABBD551C02844C021543B4540
Rufous Hummingbird,Selasphorus rufus,1,Massachusetts,Hampden,"Holyoke, MA",42.2132623,-72.6361084,11/27/1992,obsr54366,0101000020E61000007FAD0100B62852C020FCD52D4C1B4540
American White Pelican,Pelecanus erythrorhynchos,1,Massachusetts,Essex,Parker River NWR,42.7639008,-70.8022995,7/21/1997,obsr171679,0101000020E6100000388600E058B351C0B2B15C80C7614540
Green-tailed Towhee,Pipilo chlorurus,1,Massachusetts,Essex,SPA: South Peabody Area: contiguous N. Lynn-S. Peabody-SW Salem,42.5066859,-70.9449863,10/30/1979,obsr131673,0101000020E6100000C16AD1A77ABC51C013EC6415DB404540
Eared Grebe,Podiceps nigricollis,1,Massachusetts,Essex,Gloucester,42.6158981,-70.6619873,10/19/1996,obsr171679,0101000020E610000083F7FAFF5DAA51C09395BABFD54E4540
Fork-tailed Flycatcher,Tyrannus savana,1,Massachusetts,Essex,Parker River NWR,42.7639008,-70.8022995,8/25/1998,obsr99398,0101000020E6100000388600E058B351C0B2B15C80C7614540
American White Pelican,Pelecanus erythrorhynchos,1,Massachusetts,Essex,Parker River NWR,42.7639008,-70.8022995,8/23/1997,obsr52135,0101000020E6100000388600E058B351C0B2B15C80C7614540
Ivory Gull,Pagophila eburnea,1,Massachusetts,Essex,Salisbury Beach State Reservation,42.8268013,-70.8180008,1/10/1976,obsr7435,0101000020E6100000840607205AB451C028E5FF9FD4694540
Mississippi Kite,Ictinia mississippiensis,1,Massachusetts,Barnstable,Orleans,41.78981,-69.98976,6/4/1997,obsr339145,0101000020E6100000E5B8533A587F51C0E2067C7E18E54440
White-faced Ibis,Plegadis chihi,1,Massachusetts,Essex,Essex,42.63199,-70.78279,4/24/1984,obsr171679,0101000020E6100000B2683A3B19B251C014B35E0CE5504540
Mountain Bluebird,Sialia currucoides,1,Massachusetts,Nantucket,70 miles SSE of Nantucket Island,40.8,-69.34,4/28/1980,obsr900220,0101000020E6100000F6285C8FC25551C06666666666664440
Townsend's Solitaire,Myadestes townsendi,1,Massachusetts,Plymouth,"BHI--World's End, Hingham (TTOR)",42.2713013,-70.8806992,12/31/1993,obsr339145,0101000020E610000041672D605DB851C05F6E4100BA224540
Fork-tailed Flycatcher,Tyrannus savana,1,Massachusetts,Essex,Plum Island (please use more refined location),42.7985496,-70.8090735,8/14/1998,obsr149856,0101000020E6100000DBA337DCC7B351C0F01D90DF36664540
Ivory Gull,Pagophila eburnea,1,Massachusetts,Essex,Salisbury Beach State Reservation,42.8268013,-70.8180008,1/30/1976,obsr133408,0101000020E6100000840607205AB451C028E5FF9FD4694540
Fork-tailed Flycatcher,Tyrannus savana,1,Massachusetts,Essex,Parker River NWR,42.7639008,-70.8022995,8/10/1998,obsr306774,0101000020E6100000388600E058B351C0B2B15C80C7614540
Ivory Gull,Pagophila eburnea,1,Massachusetts,Essex,Salisbury,42.84179,-70.8606,12/27/1975,obsr39970,0101000020E610000002BC051214B751C0C80C54C6BF6B4540
Ivory Gull,Pagophila eburnea,1,Massachusetts,Essex,Salisbury Beach State Reservation,42.8268013,-70.8180008,2/1/1976,obsr39368,0101000020E6100000840607205AB451C028E5FF9FD4694540
Bar-tailed Godwit,Limosa lapponica,1,Massachusetts,Plymouth,Plymouth,41.9584007,-70.6672821,12/31/1997,obsr339145,0101000020E6100000322DFBBFB4AA51C0547BC7DFACFA4440
American White Pelican,Pelecanus erythrorhynchos,1,Massachusetts,Essex,Parker River NWR,42.7639008,-70.8022995,8/31/1997,obsr39551,0101000020E6100000388600E058B351C0B2B15C80C7614540
Rufous Hummingbird,Selasphorus rufus,1,Massachusetts,Middlesex,Pepperell,42.66589,-71.58841,9/26/1998,obsr171679,0101000020E6100000EBA86A82A8E551C0E15D2EE23B554540
Pink-footed Goose,Anser brachyrhynchus,1,Massachusetts,Barnstable,Dennis,41.73541,-70.19386,1/16/1999,obsr339145,0101000020E61000002A00C633688C51C0609335EA21DE4440
Black-headed Grosbeak,Pheucticus melanocephalus,1,Massachusetts,Middlesex,Weston,42.3668,-71.3031,12/8/1962,obsr171679,0101000020E6100000BADA8AFD65D351C01E166A4DF32E4540
Pink-footed Goose,Anser brachyrhynchus,1,Massachusetts,Barnstable,Dennis Golf course,41.7285995,-70.1532997,2/14/1999,obsr351820,0101000020E6100000257F8BA9CF8951C0E43098BF42DD4440
American White Pelican,Pelecanus erythrorhynchos,1,Massachusetts,Essex,Parker River NWR,42.7639008,-70.8022995,8/18/1997,obsr295862,0101000020E6100000388600E058B351C0B2B15C80C7614540
American White Pelican,Pelecanus erythrorhynchos,1,Massachusetts,Essex,Parker River NWR--Stage Island Pool,42.710964,-70.7760179,8/31/1997,obsr99544,0101000020E61000001467FB46AAB151C011514CDE005B4540
Townsend's Warbler,Setophaga townsendi,1,Massachusetts,Barnstable,"Falmouth Town Hall thicket, Falmouth, MA",41.5519097,-70.6186822,12/1/1991,obsr232190,0101000020E610000082E7397D98A751C02FEC1FFAA4C64440
Rufous Hummingbird,Selasphorus rufus,1,Massachusetts,Middlesex,Pepperell,42.66589,-71.58841,9/29/1998,obsr339145,0101000020E6100000EBA86A82A8E551C0E15D2EE23B554540
American White Pelican,Pelecanus erythrorhynchos,1,Massachusetts,Essex,Plum Island,42.7896376,-70.8087516,8/19/1997,obsr446734,0101000020E61000009C251296C2B351C091D849D812654540
American White Pelican,Pelecanus erythrorhynchos,1,Massachusetts,Essex,Plum Island (please use more refined location),42.7985496,-70.8090735,8/16/1997,obsr138346,0101000020E6100000DBA337DCC7B351C0F01D90DF36664540
Eared Grebe,Podiceps nigricollis,1,Massachusetts,Essex,"Andrews Point, Rockport",42.687714,-70.6204365,2/28/1994,obsr339145,0101000020E6100000A92F4B3BB5A751C02C80290307584540
Fork-tailed Flycatcher,Tyrannus savana,1,Massachusetts,Essex,MA_Plum Island-Parker River NWR,42.7385356,-70.7918082,8/23/1998,obsr86404,0101000020E610000019ED4CFCACB251C04377A455885E4540
Black-throated Gray Warbler,Setophaga nigrescens,1,Massachusetts,Dukes,"Keith Farm, Chilmark MA",41.3449522,-70.7393789,12/30/1996,obsr137539,0101000020E61000008FB6E0FB51AF51C075D7C86427AC4440
Lark Bunting,Calamospiza melanocorys,1,Massachusetts,Norfolk,North Weymouth,42.2447854,-70.9469604,9/5/1999,obsr339145,0101000020E6100000DA26CBFF9ABC51C0E6C4C320551F4540
