common_name,scientific_name,observation_count,state,county,locality,latitude,longitude,observation_date,observer_id,geom
Brown Pelican,Pelecanus occidentalis,1,Massachusetts,Nantucket,Surfside,41.2417385,-70.0955161,1/12/1998,obsr6618,0101000020E6100000746F8FEF1C8651C090D78349F19E4440
Boreal Chickadee,Poecile hudsonicus,1,Massachusetts,Worcester,Mass Central Rail Trail and Spruce Grove,42.3848773,-71.7981698,1/29/1994,obsr28446,0101000020E6100000E9E9C83615F351C0843CCCA843314540
Sooty Tern,Onychoprion fuscatus,1,Massachusetts,Worcester,Petersham,42.48759,-72.18703,9/8/1979,obsr216617,0101000020E6100000BC57AD4CF80B52C0A6ED5F59693E4540
Tundra Swan,Cygnus columbianus,1,Massachusetts,Barnstable,"Washburn Pond, Mashpee, MA",41.6437024,-70.4839361,3/10/1991,obsr54366,0101000020E6100000A4B61ECFF89E51C0A92D1AD764D24440
Purple Gallinule,Porphyrio martinica,1,Massachusetts,Essex,Lynnfield Marsh--IBA,42.528,-71.051,6/14/1986,obsr52135,0101000020E61000002506819543C351C0DD24068195434540
Tundra Swan,Cygnus columbianus,1,Massachusetts,Plymouth,Pembroke,42.0715,-70.80919,11/2/1997,obsr339145,0101000020E61000000490DAC4C9B351C0FED478E926094540
Tufted Duck,Aythya fuligula,1,Massachusetts,Worcester,West Boylston,42.36679,-71.78562,1/31/1995,obsr339145,0101000020E610000058C51B9947F251C0FB3F87F9F22E4540
Varied Thrush,Ixoreus naevius,1,Massachusetts,Middlesex,Holliston,42.2001,-71.4245,2/1/1994,obsr339145,0101000020E6100000BA490C022BDB51C0FDF675E09C194540
Tufted Duck,Aythya fuligula,1,Massachusetts,Barnstable,Bourne,41.74121,-70.59888,2/10/1970,obsr39970,0101000020E61000009F8EC70C54A651C0EDBB22F8DFDE4440
Boreal Chickadee,Poecile hudsonicus,1,Massachusetts,Suffolk,Arnold Arboretum,42.3051491,-71.1226591,1/2/1976,obsr39970,0101000020E6100000A3C38DA5D9C751C0B1732E200F274540
Tundra Swan,Cygnus columbianus,1,Massachusetts,Hampshire,Mill Pond on Ferry St. Easthampton,42.2755093,-72.655925,4/7/1998,obsr340174,0101000020E61000003EE8D9ACFA2952C0379F84E343234540
Swallow-tailed Kite,Elanoides forficatus,1,Massachusetts,Plymouth,"SWKI, Marshfield",42.0958146,-70.6853914,6/4/1999,obsr356118,0101000020E61000006BFDE373DDAB51C05ABD1EA7430C4540
American White Pelican,Pelecanus erythrorhynchos,1,Massachusetts,Barnstable,Harwich,41.68621,-70.07586,12/28/1974,obsr39970,0101000020E6100000C6C4E6E3DA8451C01618B2BAD5D74440
Tundra Swan,Cygnus columbianus,1,Massachusetts,Essex,"Rantoul Pond, Ipswich",42.6769458,-70.7914352,1/10/1979,obsr131673,0101000020E6100000CE39D3DFA6B251C01015F428A6564540
Mississippi Kite,Ictinia mississippiensis,1,Massachusetts,Essex,Martin Burns WMA,42.76075,-70.9151,5/20/1995,obsr339145,0101000020E6100000742497FF90BA51C04C37894160614540
Varied Thrush,Ixoreus naevius,1,Massachusetts,Essex,West Boxford,42.6328473,-71.0414429,1/29/1994,obsr28446,0101000020E6100000B1091F00A7C251C0536EEC2301514540
White Ibis,Eudocimus albus,1,Massachusetts,Bristol,Allens Pond Wildlife Sanctuary (Mass Audubon),41.5132529,-71.0139501,9/11/1975,obsr131673,0101000020E6100000A9D1F58EE4C051C0E0096245B2C14440
Varied Thrush,Ixoreus naevius,1,Massachusetts,Franklin,New Salem,42.5067175,-72.3348856,1/28/1984,obsr290902,0101000020E6100000B0F902C46E1552C0CB67791EDC404540
Loggerhead Shrike,Lanius ludovicianus,1,Massachusetts,Worcester,Brookfield,42.21399,-72.10232,9/14/1993,obsr216617,0101000020E6100000836E2F698C0652C0E5D53906641B4540
Black-throated Gray Warbler,Setophaga nigrescens,1,Massachusetts,Middlesex,Middlesex Fells--Winford Way Entrance,42.436951,-71.1271812,10/12/1970,obsr39970,0101000020E6100000A0AA9DBC23C851C02D7AA702EE374540
Harris's Sparrow,Zonotrichia querula,1,Massachusetts,Middlesex,Hopkinton,42.2286987,-71.5226135,3/31/1995,obsr339145,0101000020E6100000AEBCE47F72E151C0A191BEFF451D4540
Boreal Chickadee,Poecile hudsonicus,1,Massachusetts,Worcester,"River Road, West Boylston",42.3829732,-71.8134856,3/10/1990,obsr426476,0101000020E610000016F1E72510F451C04B9F0C4405314540
Black-throated Gray Warbler,Setophaga nigrescens,1,Massachusetts,Essex,Salem Woods,42.5040599,-70.908637,11/13/1977,obsr52135,0101000020E6100000E0BBCD1B27BA51C0CEDCE80885404540
Varied Thrush,Ixoreus naevius,1,Massachusetts,Hampshire,Graves Farms-House & Barn,42.4029353,-72.7114059,1/2/1982,obsr7870,0101000020E61000009DAB9CAC872D52C0B5F3476293334540
Tundra Swan,Cygnus columbianus,1,Massachusetts,Worcester,Auburn,42.19449,-71.83562,4/12/1995,obsr339145,0101000020E61000008CF84ECC7AF551C014B35E0CE5184540
Loggerhead Shrike,Lanius ludovicianus,1,Massachusetts,Hampshire,River Lodge Rd./McCray's,42.2514553,-72.6035629,12/20/1987,obsr439113,0101000020E61000000D2549C6A02652C0F4F3F0AF2F204540
Boreal Chickadee,Poecile hudsonicus,2,Massachusetts,Hampden,Ashley Reservoir,42.1752583,-72.6591222,1/8/1978,obsr7870,0101000020E61000005344E10E2F2A52C0216D2DDD6E164540
Scissor-tailed Flycatcher,Tyrannus forficatus,1,Massachusetts,Middlesex,Wayland MA private home,42.3659482,-71.3595378,6/13/1959,obsr288584,0101000020E6100000402BD5AA02D751C0D983FF63D72E4540
Harris's Sparrow,Zonotrichia querula,1,Massachusetts,Essex,Salisbury MA general,42.8517554,-70.8527997,2/8/1997,obsr306774,0101000020E61000007962314594B651C080982952066D4540
Tufted Duck,Aythya fuligula,1,Massachusetts,Bristol,"Lake Sabbatia, Taunton",41.9418719,-71.1086655,2/26/1995,obsr18501,0101000020E6100000062D2460F4C651C0BDC227428FF84440
Harris's Sparrow,Zonotrichia querula,1,Massachusetts,Middlesex,Hopkinton,42.2286987,-71.5226135,1/31/1995,obsr339145,0101000020E6100000AEBCE47F72E151C0A191BEFF451D4540
Tufted Duck,Aythya fuligula,1,Massachusetts,Barnstable,Bourne,41.74121,-70.59888,2/9/1997,obsr339145,0101000020E61000009F8EC70C54A651C0EDBB22F8DFDE4440
Rufous Hummingbird,Selasphorus rufus,1,Massachusetts,Hampden,"School St., Agawam, MA",42.0692875,-72.6141985,10/3/1998,obsr451527,0101000020E610000025B039074F2752C0C442AD69DE084540
Northern Wheatear,Oenanthe oenanthe,1,Massachusetts,Worcester,Fitchburg,42.58339,-71.80232,9/8/1994,obsr339145,0101000020E61000004F3BFC3559F351C01F680586AC4A4540
Boreal Chickadee,Poecile hudsonicus,1,Massachusetts,Berkshire,Moran WMA,42.5254414,-73.0609439,1/8/1984,obsr7870,0101000020E610000001593E81E64352C0737BEEA941434540
Boreal Chickadee,Poecile hudsonicus,1,Massachusetts,Worcester,Mass Central Rail Trail and Spruce Grove,42.3848773,-71.7981698,2/18/1994,obsr1056978,0101000020E6100000E9E9C83615F351C0843CCCA843314540
Painted Bunting,Passerina ciris,1,Massachusetts,Worcester,Barre,42.42289,-72.10512,12/31/1971,obsr216617,0101000020E6100000F4893C49BA0652C019E76F4221364540
Black-backed Woodpecker,Picoides arcticus,1,Massachusetts,Middlesex,Groton,42.61119,-71.57451,10/28/1998,obsr339145,0101000020E6100000664E97C5C4E451C035D252793B4E4540
American White Pelican,Pelecanus erythrorhynchos,1,Massachusetts,Plymouth,Kingston,41.9945,-70.72448,7/13/1997,obsr339145,0101000020E6100000CAA65CE15DAE51C09EEFA7C64BFF4440
Varied Thrush,Ixoreus naevius,1,Massachusetts,Franklin,New Salem,42.4985862,-72.3312163,1/28/1984,obsr131673,0101000020E6100000BC19DAA5321552C0539E2FACD13F4540
Boreal Chickadee,Poecile hudsonicus,5,Massachusetts,Suffolk,Arnold Arboretum,42.3051491,-71.1226591,1/15/1976,obsr131673,0101000020E6100000A3C38DA5D9C751C0B1732E200F274540
LeConte's Sparrow,Ammospiza leconteii,1,Massachusetts,Bristol,North Attleboro,41.9834,-71.3328,10/20/1994,obsr339145,0101000020E6100000F7065F984CD551C076711B0DE0FD4440
Tundra Swan,Cygnus columbianus,1,Massachusetts,Middlesex,Hammond Pond,42.3240318,-71.1702919,3/2/1997,obsr276568,0101000020E61000008451FF0FE6CA51C098EEBFDF79294540
Ruff,Calidris pugnax,1,Massachusetts,Suffolk,Belle Isle Marsh Reservation,42.3910639,-70.9930195,5/3/1999,obsr339145,0101000020E61000009432A9A18DBF51C0B792C2610E324540
LeConte's Sparrow,Ammospiza leconteii,1,Massachusetts,Hampshire,LARCH HILL CONSERVATION AREA-AMHERST,42.3596499,-72.5223666,12/8/1991,obsr7870,0101000020E610000074E151746E2152C03D410702092E4540
Boreal Chickadee,Poecile hudsonicus,3,Massachusetts,Hampshire,Fischer Residence,42.3749127,-72.5155659,12/28/1969,obsr519858,0101000020E6100000B3DB1D08FF2052C073ADAC23FD2F4540
Varied Thrush,Ixoreus naevius,1,Massachusetts,Essex,Locust Grove Cemetery,42.6834134,-70.6469393,1/10/1990,obsr105224,0101000020E6100000D1FF177467A951C0F7521D177A574540
Tundra Swan,Cygnus columbianus,9,Massachusetts,Dukes,Squibnocket,41.30701,-70.77447,12/6/1994,obsr339145,0101000020E6100000EB6E9EEA90B151C0C1C58A1A4CA74440
Black-backed Woodpecker,Picoides arcticus,1,Massachusetts,Worcester,West River Street,42.1535733,-71.6118693,12/15/1990,obsr426476,0101000020E61000004A3BDADD28E751C0F784364AA8134540
Tundra Swan,Cygnus columbianus,1,Massachusetts,Middlesex,Hammond Pond,42.3240318,-71.1702919,3/15/1997,obsr276568,0101000020E61000008451FF0FE6CA51C098EEBFDF79294540
Mew Gull,Larus canus,1,Massachusetts,Suffolk,"Lewis Lake Park, Winthrop",42.3742711,-70.9754562,3/15/1998,obsr132883,0101000020E61000008C6BD7DF6DBE51C0422B8B1DE82F4540
Boreal Chickadee,Poecile hudsonicus,2,Massachusetts,Worcester,Mass Central Rail Trail and Spruce Grove,42.3848773,-71.7981698,11/13/1993,obsr747531,0101000020E6100000E9E9C83615F351C0843CCCA843314540
Harris's Sparrow,Zonotrichia querula,1,Massachusetts,Middlesex,Hopkinton,42.2286987,-71.5226135,5/1/1995,obsr339145,0101000020E6100000AEBCE47F72E151C0A191BEFF451D4540
American White Pelican,Pelecanus erythrorhynchos,3,Massachusetts,Barnstable,"Bump's River, Centerville, MA",41.6403269,-70.3638589,10/14/1996,obsr137539,0101000020E6100000F2F6D676499751C0E11F5B3BF6D14440
Boreal Chickadee,Poecile hudsonicus,3,Massachusetts,Norfolk,Wellesley,42.2965,-71.2926,11/3/1959,obsr349491,0101000020E6100000D0B359F5B9D251C0CBA145B6F3254540
Tundra Swan,Cygnus columbianus,1,Massachusetts,Essex,"Rantoul (Sagamore) Pond, Ipswich",42.6780185,-70.793066,12/9/1978,obsr52135,0101000020E61000007364E597C1B251C09FCA694FC9564540
Tufted Duck,Aythya fuligula,1,Massachusetts,Barnstable,"Upper Millpond, Brewster",41.731424,-70.1161896,12/8/1991,obsr139783,0101000020E6100000A90881A66F8751C037C1374D9FDD4440
Mew Gull,Larus canus,1,Massachusetts,Suffolk,"Lewis Lake Park, Winthrop",42.3742711,-70.9754562,3/17/1998,obsr290902,0101000020E61000008C6BD7DF6DBE51C0422B8B1DE82F4540
Black-backed Woodpecker,Picoides arcticus,1,Massachusetts,Worcester,Quabbin Reservoir--Gate 40,42.4406876,-72.2103882,12/24/1985,obsr7870,0101000020E6100000B79D1100770D52C059E0867368384540
Tundra Swan,Cygnus columbianus,1,Massachusetts,Hampshire,"Lower Mill Pond, Easthampton, MA",42.2747508,-72.6561295,4/7/1998,obsr451527,0101000020E6100000371C9606FE2952C06146C2082B234540
Ruff,Calidris pugnax,1,Massachusetts,Essex,Newburyport Wastewater Facility,42.8090818,-70.8609366,5/18/1975,obsr39559,0101000020E61000007C3BD39519B751C0F8640FFE8F674540
Northern Wheatear,Oenanthe oenanthe,1,Massachusetts,Worcester,KMart Plaza,42.5555145,-71.779561,9/8/1994,obsr23453,0101000020E61000002C0FD253E4F151C016FA60191B474540
