COMMON NAME	SCIENTIFIC NAME	OBSERVATION COUNT	STATE	COUNTY	LOCALITY	LATITUDE	LONGITUDE	OBSERVATION DATE	OBSERVER ID
Pink-footed Goose	Anser brachyrhynchus	1	Massachusetts	Barnstable	Dennis Pines Golf Course	41.7313943	-70.1537255	1/21/1999	obsr119582
Pink-footed Goose	Anser brachyrhynchus	1	Massachusetts	Barnstable	MA--Dennis Pines GC	41.7290705	-70.1531081	2/13/1999	obsr7894
Pink-footed Goose	Anser brachyrhynchus	1	Massachusetts	Barnstable	"Dennis Pines Golf Course, Dennis  MA"	41.7267429	-70.1544642	1/18/1999	obsr54366
Pink-footed Goose	Anser brachyrhynchus	1	Massachusetts	Barnstable	Dennis	41.73541	-70.19386	1/16/1999	obsr339145
Pink-footed Goose	Anser brachyrhynchus	1	Massachusetts	Barnstable	Dennis Golf course	41.7285995	-70.1532997	2/14/1999	obsr351820
Pink-footed Goose	Anser brachyrhynchus	1	Massachusetts	Barnstable	Dennis Pines Golf Course	41.7328628	-70.1540694	2/14/1999	obsr141555
Pink-footed Goose	Anser brachyrhynchus	1	Massachusetts	Barnstable	Dennis	41.73541	-70.19386	1/27/1999	obsr131082
Pink-footed Goose	Anser brachyrhynchus	1	Massachusetts	Barnstable	Dennis	41.73541	-70.19386	1/31/1999	obsr339145
Pink-footed Goose	Anser brachyrhynchus	1	Massachusetts	Barnstable	Dennis	41.73541	-70.19386	1/23/1999	obsr99544
Pink-footed Goose	Anser brachyrhynchus	1	Massachusetts	Barnstable	Dennis--Dennis Pines Golf Course	41.7310987	-70.1535416	2/13/1999	obsr17450
Pink-footed Goose	Anser brachyrhynchus	1	Massachusetts	Barnstable	Dennis Pines Golf Course	41.7327	-70.1524687	2/20/1999	obsr149610
Pink-footed Goose	Anser brachyrhynchus	1	Massachusetts	Barnstable	"Dennis Pines Golf Course, Dennis  MA"	41.7267429	-70.1544642	1/18/1999	obsr137539
Pink-footed Goose	Anser brachyrhynchus	1	Massachusetts	Barnstable	Dennis Pines Golf Course	41.7311369	-70.15374	1/24/1999	obsr334177
Pink-footed Goose	Anser brachyrhynchus	1	Massachusetts	Barnstable	Dennis	41.73541	-70.19386	4/11/1999	obsr339145
Pink-footed Goose	Anser brachyrhynchus	1	Massachusetts	Barnstable	Setucket Rd-Dennis Pines GC	41.7239403	-70.1527905	1/30/1999	obsr39970
Pink-footed Goose	Anser brachyrhynchus	1	Massachusetts	Barnstable	Dennis Pines Golf Course	41.7282937	-70.1548949	1/23/1999	obsr356118
Pink-footed Goose	Anser brachyrhynchus	1	Massachusetts	Barnstable	Dennis Pines Golf Course	41.7350699	-70.1526618	1/24/1999	obsr290902
Pink-footed Goose	Anser brachyrhynchus	1	Massachusetts	Barnstable	Dennis Pines Golf Course	41.731435	-70.1557088	1/23/1999	obsr40647
Pink-footed Goose	Anser brachyrhynchus	1	Massachusetts	Barnstable	Dennis	41.73541	-70.19386	2/20/1999	obsr339145
Pink-footed Goose	Anser brachyrhynchus	1	Massachusetts	Barnstable	Dennis	41.73541	-70.19386	2/1/1999	obsr339145
Pink-footed Goose	Anser brachyrhynchus	1	Massachusetts	Barnstable	Dennis	41.73541	-70.19386	1/18/1999	obsr339145
Barnacle Goose	Branta leucopsis	1	Massachusetts	Bristol	South Dartmouth	41.5918	-70.94118	2/6/1994	obsr339145
Barnacle Goose	Branta leucopsis	1	Massachusetts	Bristol	South Dartmouth	41.5918	-70.94118	3/1/1994	obsr339145
Barnacle Goose	Branta leucopsis	1	Massachusetts	Bristol	Dartmoor Farm WMA	41.5573114	-71.0283279	2/6/1994	obsr232190
Barnacle Goose	Branta leucopsis	1	Massachusetts	Bristol	South Dartmouth	41.5918	-70.94118	3/20/1994	obsr339145
Barnacle Goose	Branta leucopsis	1	Massachusetts	Bristol	South Dartmouth	41.5918	-70.94118	2/25/1995	obsr339145
Barnacle Goose	Branta leucopsis	1	Massachusetts	Bristol	Dartmoor Farm WMA	41.5573114	-71.0283279	3/6/1995	obsr39559
