common_name
Black-bellied Whistling-Duck
Pink-footed Goose
Barnacle Goose
Tundra Swan
Tufted Duck
Eared Grebe
White-winged Dove
Rufous Hummingbird
Yellow Rail
Purple Gallinule
Northern Lapwing
Wilson’s Plover
Bar-tailed Godwit
Ruff
Curlew Sandpiper
Great Skua
South Polar Skua
Ivory Gull
Franklin’s Gull
Mew Gull
Sooty Tern
Bridled Tern
Gull-billed Tern
Pacific Loon
Brown Booby
American White Pelican
Brown Pelican
White Ibis
White-faced Ibis
Swallow-tailed Kite
White-tailed Kite
Mississippi Kite
Black-backed Woodpecker
Say’s Phoebe
Ash-throated Flycatcher
Scissor-tailed Flycatcher
Fork-tailed Flycatcher
Loggerhead Shrike
Bell's Vireo
Cave Swallow
Boreal Chickadee
Northern Wheatear
Mountain Bluebird
Townsend’s Solitaire
Varied Thrush
Black-throated Gray Warbler
Townsend’s Warbler
Green-tailed Towhee
Lark Bunting
LeConte’s Sparrow
Harris’s Sparrow
Western Tanager
Black-headed Grosbeak
Painted Bunting
