COMMON NAME,SCIENTIFIC NAME,OBSERVATION COUNT,COUNTY,LOCALITY,LATITUDE,LONGITUDE,OBSERVATION DATE
Brown Pelican,Pelecanus occidentalis,1,Nantucket,Surfside,41.2417385,-70.0955161,1998-01-12
Fork-tailed Flycatcher,Tyrannus savana,1,Essex,Parker River NWR,42.7639008,-70.8022995,1998-08-01
Eared Grebe,Podiceps nigricollis,1,Plymouth,Duxbury,42.0418,-70.67228,1993-09-18
Townsend's Solitaire,Myadestes townsendi,1,Barnstable,West Barnstable,41.70571,-70.37447,1997-02-01
Boreal Chickadee,Poecile hudsonicus,1,Worcester,Mass Central Rail Trail and Spruce Grove,42.3848773,-71.7981698,1994-01-29
Bar-tailed Godwit,Limosa lapponica,1,Barnstable,Monomoy NWR--North Monomoy Island,41.6341667,-69.9744444,1998-05-15
Eared Grebe,Podiceps nigricollis,1,Essex,East Gloucester,42.6085635,-70.6425286,1999-01-01
Fork-tailed Flycatcher,Tyrannus savana,1,Essex,Plum Island (please use more refined location),42.7985496,-70.8090735,1998-08-15
Sooty Tern,Onychoprion fuscatus,1,Worcester,Petersham,42.48759,-72.18703,1979-09-08
Tufted Duck,Aythya fuligula,1,Worcester,Sterling,42.43759,-71.76062,1996-10-31
Green-tailed Towhee,Pipilo chlorurus,1,Essex,SPA: South Peabody Area: contiguous N. Lynn-S. Peabody-SW Salem,42.5066859,-70.9449863,1979-10-31
Tundra Swan,Cygnus columbianus,1,Barnstable,"Washburn Pond, Mashpee, MA",41.6437024,-70.4839361,1991-03-10
Purple Gallinule,Porphyrio martinica,1,Essex,Lynnfield Marsh--IBA,42.528,-71.051,1986-06-14
Harris's Sparrow,Zonotrichia querula,1,Middlesex,Belmont,42.3959007,-71.1787033,1977-12-23
Bridled Tern,Onychoprion anaethetus,1,Plymouth,Bird Island,41.669,-70.717,1995-06-08
Pacific Loon,Gavia pacifica,1,Barnstable,Race Point,42.0691855,-70.2381706,1999-03-06
Gull-billed Tern,Gelochelidon nilotica,1,Essex,Newburyport-Plum Island,42.7848189,-70.8130646,1991-08-26
Tundra Swan,Cygnus columbianus,1,Plymouth,Pembroke,42.0715,-70.80919,1997-11-02
Tufted Duck,Aythya fuligula,1,Worcester,West Boylston,42.36679,-71.78562,1995-01-31
